"Marketplace / Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage";"Average Sales Price"
"Houten Telefoon Docking Station Sleutelhouder Portemonnee Stand Horloge Organizer Mannen Cadeau Echtgenoot Echtgenote Vader Verjaardag Portemonnee Mannelijk Gadgets donkere as COG: 6,12 / Price: 30,99";"B08YJR9HDL";"PP0005";"2";"";"61,98";"";"";"";"";"";"";"";"";"";"-";"";"-16,73";"-12,24";"-10,76";"";"22,25";"22,25";"45,25";"";"35,90";"181,78";"";"";"21";"9,52";"30,99"
"Northstar Houten telefoondockingstation met lade, nachtkastorganizer, bureau-organizer voor echtgenoot, verjaardagscadeau voor mannen, papa, verjaardagsidee, sleutelhanger COG: 10,62 / Price: 39,8";"B0F2TDHQ83";"PPD006";"1";"";"45,79";"";"";"";"";"";"";"";"";"";"-";"";"-17,96";"-10,62";"-7,95";"";"6,77";"6,77";"25,34";"";"14,78";"63,75";"57 039";"";"14";"7,14";"45,79"
"Houten Telefoon Docking Station Sleutelhouder Portemonnee Stand Horloge Organizer Mannen Cadeau Echtgenoot Echtgenote Vader Verjaardag Portemonnee Mannelijk Gadgets Massief As (Zwart) COG: 6,12 / Price: 25,99";"B08YJLRHKX";"PP0004";"1";"";"28,98";"";"";"";"";"";"";"";"";"";"-";"";"-9,17";"-6,12";"-5,03";"-2,47";"6,19";"6,19";"17,34";"";"21,36";"101,14";"33 838";"";"19";"5,26";"28,98"
"Wapenrek Wandmontage Hold Up Displays Horizontaal Wapenrek en Shotgun Haken Bewaar Geweer Shotgun Boog Echt Hardhout Hanger Gevorkt (Wenge) COG: 4,71 / Price: 38,34";"B09QMLXZ27";"ARBI01";"1";"";"38,34";"";"";"";"";"";"";"";"";"";"-";"";"-11,38";"-4,71";"-6,65";"";"15,60";"15,60";"26,96";"";"40,69";"331,21";"13 396";"";"39";"2,56";"38,34"
"Northstar Houten telefoondockingstation voor mannen, bureau- of nachtkastje, organizer voor verjaardagen, cadeaus voor mannen, vader, jubileumidee van vrouw, sleutelhouder, standaard, portemonnee COG: 6,12 / Price: 27,99";"B0FGJXKQFB";"PP0013";"1";"";"27,99";"";"";"";"";"";"";"";"";"";"-";"";"-8,7";"-6,12";"-4,86";"";"8,31";"8,31";"19,29";"";"29,69";"135,78";"33 838";"";"7";"14,29";"27,99"
"Houten Telefoon Docking Station Sleutelhouder Portemonnee Stand Horloge Organizer Mannen Cadeau Echtgenoot Echtgenote Vader Verjaardag Portemonnee Mannelijk Gadgets Massief As (Bruin) COG: 0 / Price: 0";"B07VC6GXYT";"14-0XE4-GZ9F";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Northstar Houten telefoondockingstation met lade - Nachtkastje Organizer - Bureauorganizer voor echtgenoot - verjaardagscadeaus voor mannen, vader, jubileumidee, sleutelhouder standaard horloge en COG: 10,62 / Price: 39,8";"B0F2T8BPK5";"PPD005";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"7";"";""
"Northstar Houten telefoondockingstation met lade - Nachtkastje Organizer - Bureauorganizer voor echtgenoot - verjaardagscadeaus voor mannen, vader, jubileumidee, sleutelhouder, standaard horloge en COG: 10,62 / Price: 51,39";"B0F2T5SPFZ";"PPD004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,49";"";"";"";"-0,49";"-0,49";"-0,49";"";"";"";"57 039";"";"25";"";""
"Northstar Handy-Dockingstation aus Holz, Nachttisch-Organizer, Schreibtisch-Organizer für Ehemann, Geburtstagsgeschenke für Männer oder Vater, Idee für Jahrestag, Vatertagsgeschenk für Papa COG: 5,5 / Price: 30,4";"B0DHH7P6QQ";"73-EFLH-T6DR";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";""
"Northstar Wapenmuurbevestiging | Echt essenhout met metalen haak | Muurbevestiging voor geweren | Geweerhouder voor geweer, jachtgeweer, enz. | Wapenopslag | Presentatiehaken | Jachtgeweer accessoires COG: 6,27 / Price: 39,78";"B0BTTHD99C";"AR0008";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,08";"";"";"";"-0,08";"-0,08";"-0,08";"";"";"";"49 752";"";"11";"";""
"0,6 L Eikenhouten Biermok - Thor-mok | Biercadeaus voor Mannen Verjaardag - Vikingcadeaus | Ideaal als Kerstcadeau voor Wie Alles Heeft | Roestvrijstalen Tankard - Thorhamer COG: 7,59 / Price: 32,8";"B0CN1J44VC";"BM0010";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,65";"";"";"";"-0,65";"-0,65";"-0,65";"";"";"";"81 297";"";"16";"";""
"Northstar Viking Biermok Tankard voor mannen - 0,6 liter 20 oz Handgemaakte eikenhouten roestvrijstalen beker authentiek ontwerp kerstcadeau | Verjaardagscadeau|Geschenken voor mannen Vaderdag Gift COG: 6,98 / Price: 29,8";"B0CP2KD382";"BMP0011";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"10";"";""
"Northstar Handgemaakt biercadeau van 0,6 liter, houten bierbeker, authentieke Viking en middeleeuwse houten tankard, biercadeaus voor mannen, verjaardag of Kerstmis, roestvrijstalen beker, graveren met COG: 5,4 / Price: 29,8";"B0CN1H8G38";"BMP0012";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Northstar Viking Biermok Tankard voor mannen - 0,6 liter 20 oz Handgemaakte eikenhouten roestvrijstalen beker authentiek ontwerp kerstcadeau | Verjaardagscadeau | Geschenken voor mannen Vaderdag (Viking COG: 7,41 / Price: 29,8";"B0BRSR5KJS";"BMT002";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Northstar Steak Brett Servierbrett Holz Eichenholz 30x20cm (Medium) - Steak Servierplatte/Steakbrett Schneidebrett aus Massivholz Massiv/Holzbrett Küche/Vesperbrett Holz & Küchen Utensilien COG: 3,5 / Price: 26,8";"B0B1DMS4YK";"KB0001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"12";"";""
"Houten steakplank 30 x 20 massief eiken Serveerbarbecueschotel Natuurlijke dikke snijplaat Duurzaam en kwaliteit (Large) COG: 4,73 / Price: 24,8";"B08YKGCV8F";"KB0002";"";"2";"";"";"";"";"";"";"";"";"";"∞";"100";"-39,47";"-0,72";"";"9,64";"";"-30,55";"-30,55";"-49,65";"";"";"";"37 466";"";"3";"";""
"Northstar Holz Telefon Dockingstation & Schreibtisch Organizer mit Handyständer Beige für Büro Aufbewahrung & Organisation Tolle Geschenkideen für Männer Holz Männer Väter COG: 6,12 / Price: 43,8";"B08YJ5Y672";"PP0006";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Northstar Hout telefoonhouder as portemonnee en horloges Kerstmis geschenken voor mannen horloge organizer horloge organizer cadeau man vrouw verjaardag zwarte as (zwart) COG: 6,12 / Price: 44";"B09FSZYGB4";"PP0007";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Houten Telefoon Docking Station Sleutelhouder Portemonnee Stand Horloge Organizer Mannen Cadeau Echtgenoot Echtgenote Vader Verjaardag Portemonnee Mannelijk Gadgets Massief As (Bruin) COG: 12,78 / Price: 32,8";"B07VC6GXYT";"SQ-H3G9-2L92";"";"";"";"";"-3,02";"-3,02";"";"";"";"";"";"";"-";"";"";"";"";"";"-3,02";"-3,02";"-3,02";"";"";"";"";"";"10";"";""
"Northstar Wapenrek voor wandmontage Hold Up Displays Horizontaal geweerrek en jachtgeweerhaken Bewaar alle geweren Shotgun Real Hardwood (bruin) COG: 4,48 / Price: 32,8";"B09J8W13DK";"UG-Y4LX-G244";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,29";"";"";"";"-0,29";"-0,29";"-0,29";"";"";"";"33 312";"";"15";"";""
"Northstar Gun Rack Wall Mount Hold Up Displays Horizontal Gun Rack and Shotgun Hooks Store Any Rifle Shotgun Zwaard Sabel en boog Echt hardhout (Wenge) COG: 4,48 / Price: 32,8";"B0B6WC5SST";"Y4-OT79-ACBA";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";""
"Holzsteakbrett 30 x 20 Massiv Eiche Servier Grillplatte Naturdicke Schneidplatte - Langlebig & Qualität (Small) COG: 8,85 / Price: 24,8";"B07QS323RP";"5L-OS15-NL0S";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Northstar Houten kruik, 0,6 l, origineel cadeau voor heren, Viking-design met wolf, kerstbier COG: 7,01 / Price: 29,8";"B0CN6XQ611";"BMP0009";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-0,44";"";"";"";"-0,44";"-0,44";"-0,44";"";"";"";"112 805";"";"14";"";""
"Snijplank van hout, 35 x 25 cm, steakbord, snijplank voor het serveren van vlees, voor burgers, kaas, grill, friet, dienblad van hout, keukenplank, accessoires voor de keuken COG: 0 / Price: 26,8";"B0BQCSFHQH";"KB0004";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"3";"";""
"MyFancyCraft Bierkrug, Holz-Bierkrug, Edelstahlbecher, Handgefertigte Geschenke für Männer, Vatertag, Weihnachten oder Geburtstag, Braun, 6 Stück COG: 50 / Price: 162,89";"B01M2ZSZNF";"KO-AAPH-S3H1";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Northstar Handy-Dockingstation aus Holz mit Schublade, Nachttisch-Organizer, Schreibtisch-Organizer für Ehemann, Geburtstagsgeschenke für Männer oder Vater, Jahrestagsidee, Schlüsselhalter, Ständer, Uhr COG: 9,51 / Price: 39,8";"B0DQQCZGLP";"PPD007";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Northstar Wapenrek Wandmontage Houdt Horizontale Wapenrek en Jachtgeweerhaken Op Berging Geweer Jachtgeweer Boog Echte Hardhouten Hanger Metaal (Wenge) COG: 5,85 / Price: 22,99";"B09QMK4HZF";"ARM0001";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"7 259";"";"12";"";""
"Northstar Wapenrek voor wandmontage Hold Up Displays Horizontaal geweerrek en jachtgeweerhaken Bewaar alle geweren Shotgun Real Hardwood (bruin) COG: 10,14 / Price: 32,8";"B09J8W13DK";"EG-RY08-XTU8";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"33 312";"";"1";"";""
"Northstar Gun Rack Wall Mount Hold Up Displays Horizontal Gun Rack and Shotgun Hooks Store Any Rifle Shotgun Zwaard Sabel en boog Echt hardhout (Wenge) COG: 4,48 / Price: 24,52";"B0B6WC5SST";"XV-BOT3-21US";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Northstar Wapenrek voor wandmontage Hold Up Displays Horizontaal geweerrek en jachtgeweerhaken Bewaar alle geweren Shotgun Real Hardwood (bruin) COG: 10,14 / Price: 25,14";"B09J8W13DK";"DC-9UBV-6D8X";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"33 312";"";"";"";""
"Amazon.pl";"";"";"26";"1";"797,2";"";"-17,2";"-17,2";"";"";"";"";"";"3,85";"-";"-21,39";"-104,92";"-173,59";"-137,66";"";"342,44";"284,06";"643,07";"-58,38";"35,63";"163,64";"46 896";"2,16";"1 854";"1,40";"30,66"
"Drewniany telefon stacja dokująca uchwyt na klucze portfel stojak zegarek organizer mężczyźni prezent mąż żona rocznica tata urodziny stolik nocny torebka ojciec ukończenie szkoły męski pomysł COG: 6,12 / Price: 34,12";"B08YJR9HDL";"PP0005";"5";"";"169,36";"";"-0,52";"-0,52";"";"";"";"";"";"";"-";"";"-19,24";"-30,6";"-31,67";"";"87,33";"87,33";"149,6";"";"51,56";"285,39";"7 346";"0,31";"823";"0,61";"33,87"
"Stojak na broń Uchwyt ścienny Wyświetlacze poziomy Stojak na broń i haczyki do strzelby Przechowuj dowolny karabin Strzelba Miecz szabla i łuk Prawdziwe drewno liściaste COG: 4,48 / Price: 29,19";"B0B6WC5SST";"Y4-OT79-ACBA";"5";"";"146";"";"";"";"";"";"";"";"";"";"-";"";"-14,08";"-22,4";"-27,30";"";"82,22";"82,22";"131,92";"";"56,32";"367,05";"5 730";"";"10";"50,00";"29,20"
"Northstar Drewniana stacja dokująca do telefonu z szufladą, organizer na stolik nocny, organizer na biurko dla męża, prezenty urodzinowe dla mężczyzn, taty, pomysł na rocznicę, stojak na klucze, zegarek COG: 10,62 / Price: 34,82";"B0F2T5SPFZ";"PPD004";"2";"1";"69,72";"";"";"";"";"";"";"";"";"50,00";"-";"-21,39";"-9,35";"-21,24";"-6,53";"";"11,21";"11,21";"28,36";"";"16,08";"52,78";"31 397";"";"573";"0,35";"34,86"
"Drewniana stacja dokująca do telefonu uchwyt na klucze portfel stojak na zegarek organizator prezent dla mężczyzny mąż żona rocznica tata urodziny szafka nocna torebka ojciec ukończenie szkoły COG: 6,12 / Price: 32,22";"B08YJLRHKX";"PP0004";"2";"";"62,51";"";"-1,16";"-1,16";"";"";"";"";"";"";"-";"";"-7,65";"-12,24";"-11,69";"";"29,77";"29,77";"53,7";"";"47,62";"243,22";"14 909";"1,86";"18";"11,11";"31,26"
"Drewniany telefon stacja dokująca uchwyt na klucze portfel stojak zegarek organizer mężczyźni prezent mąż żona rocznica tata urodziny stolik nocny torebka ojciec ukończenie szkoły męski pomysł COG: 6,12 / Price: 34,15";"B08YJ5Y672";"PP0006";"2";"";"67,67";"";"-0,41";"-0,41";"";"";"";"";"";"";"-";"";"-7,62";"-12,24";"-12,65";"";"34,75";"34,75";"59,64";"";"51,35";"283,91";"7 346";"0,61";"38";"5,26";"33,84"
"Drewniana stacja dokująca do telefonu uchwyt na klucze portfel stojak na zegarek organizator prezent dla mężczyzny mąż żona rocznica tata urodziny szafka nocna torebka ojciec ukończenie szkoły COG: 12,78 / Price: 32,31";"B07VC6GXYT";"SQ-H3G9-2L92";"2";"";"58,68";"";"";"";"";"";"";"";"";"";"-";"";"-7,05";"-25,56";"-6,07";"";"20,00";"20,00";"51,63";"";"34,08";"78,25";"14 909";"";"8";"25,00";"29,34"
"Northstar Wiking kufel 0,6L – drewniany kufel do piwa z grawerunem Drzewa Życia – prezent piwny, wiking kielich, średniowieczny kufel, kufle do piwa, prezent dla miłośników piwa, prezent na Dzień Ojca COG: 7,01 / Price: 26,93";"B0CN6XQ611";"BMP0009";"2";"";"50,64";"";"-1,24";"-1,24";"";"";"";"";"";"";"-";"";"-9,99";"-14,02";"-9,47";"";"15,92";"15,92";"39,41";"";"31,44";"113,55";"24 917";"2,45";"11";"18,18";"25,32"
"Ręcznie wykonany kubek do piwa z drewna dębowego Naturalny i przyjazny dla środowiska kubek ze stali nierdzewnej 0,6 litra 20 uncji Beczka brązowa COG: 6,54 / Price: 23,51";"B01LNOBGRM";"3I-GOR9-I5Y7";"1";"";"25,45";"";"-6,44";"-6,44";"";"";"";"";"";"";"-";"";"-3,75";"-6,54";"-4,76";"";"3,96";"3,96";"15,26";"";"15,56";"60,55";"25 792";"25,30";"60";"1,67";"25,45"
"Northstar Wiking Kufel 0,6L – Drewniany kufel do piwa z grawerunkiem Drzewa Życia – Prezent piwny, Wiking Kielich, Średniowieczny Kufel, Kufle do piwa, Prezent dla miłośników piwa, Prezent na Dzień Ojca COG: 7,01 / Price: 26,85";"B0CP2C594Q";"BMP0010";"1";"";"26,77";"";"-0,3";"-0,3";"";"";"";"";"";"";"-";"";"-7,49";"-7,01";"-5,01";"";"6,96";"6,96";"18,98";"";"26,00";"99,29";"27 716";"1,12";"29";"3,45";"26,77"
"Northstar Deska do serwowania steków, drewno dębowe, 30 x 20 cm (średnia) – płyta do serwowania steków/deska do krojenia z litego drewna / deska drewniana do kuchni i przyborów kuchennych COG: 3,5 / Price: 19,77";"B0B1DMS4YK";"KB0001";"1";"";"23,12";"";"";"";"";"";"";"";"";"";"-";"";"-3,39";"-3,5";"-4,32";"";"11,91";"11,91";"19,73";"";"51,51";"340,29";"15 600";"";"12";"8,33";"23,12"
"Northstar Drewniana deska do steków, 16 x 12 cm, deska do serwowania steków, deska do krojenia z litego dębu, deska do krojenia steków, naturalna deska do krojenia (bardzo duża) COG: 6 / Price: 35,39";"B09RX2WX88";"KB0003";"1";"";"35,08";"";"";"";"";"";"";"";"";"";"-";"";"-4,47";"-6";"-6,56";"";"18,05";"18,05";"30,61";"";"51,45";"300,83";"46 896";"";"5";"20,00";"35,08"
"Northstar Drewniany organizer na biurko do stacji dokującej do telefonu, prezenty dla mężczyzn, ojców, dla niego, na rocznicę, urodziny, prezent świąteczny, stojak na klucze dla mężczyzn, chłopaka, taty COG: 6,12 / Price: 33,84";"B09FSZYGB4";"PP0007";"1";"";"31,78";"";"-0,81";"-0,81";"";"";"";"";"";"";"-";"";"-3,69";"-6,12";"-5,94";"";"15,22";"15,22";"27,28";"";"47,89";"248,69";"8 652";"2,55";"50";"2,00";"31,78"
"Northstar Drewniana stacja dokująca do telefonu dla mężczyzn – organizer na biurko lub stolik nocny – prezent urodzinowy dla mężczyzn, ojców – pomysł na rocznicę od żony – uchwyt na klucze, stojak COG: 6,12 / Price: 30,66";"B0FGJXKQFB";"PP0013";"1";"";"30,42";"";"-1,61";"-1,61";"";"";"";"";"";"";"-";"";"-4,31";"-6,12";"-5,69";"";"12,69";"12,69";"24,5";"";"41,72";"207,35";"28 995";"5,29";"55";"1,82";"30,42"
"Drewniana stacja dokująca do telefonu uchwyt na klucze portfel stojak na zegarek organizator prezent dla mężczyzny mąż żona rocznica tata urodziny szafka nocna torebka ojciec ukończenie szkoły COG: 0 / Price: 0";"B07VC6GXYT";"14-0XE4-GZ9F";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"14 909";"";"";"";""
"Northstar Drewniana stacja dokująca do telefonu z szufladą, organizer na biurko dla męża, prezenty urodzinowe dla mężczyzn, taty, pomysł na rocznicę, stojak na klucze i akcesoria (pustynny beż) COG: 10,62 / Price: 36,03";"B0F2T8BPK5";"PPD005";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"-1,58";"";"";"";"-1,58";"-1,58";"-1,58";"";"";"";"13 489";"";"24";"";""
"Northstar Drewniana stacja dokująca do telefonu z szufladą, organizer na stolik nocny, organizer na biurko dla męża, prezenty urodzinowe dla mężczyzn, taty, pomysł na rocznicę, stojak na klucze, zegarek COG: 10,62 / Price: 35,66";"B0F2TDHQ83";"PPD006";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"35";"";""
"Ręcznie robiony kubek do piwa drewno dębowe kubek ze stali nierdzewnej naturalny ekologiczny drewniany kufel 0,6 l 590 ml klasyczny brązowy (retro 590 g / 0,6 l) COG: 6,59 / Price: 25,85";"B01LYB4PKO";"69-YT0R-2WCS";"";"";"";"";"-1,03";"-1,03";"";"";"";"";"";"";"-";"";"-0,2";"";"";"";"-1,23";"-1,23";"-1,23";"";"";"";"41 482";"";"11";"";""
"Northstar Kubek do piwa 590 ml – kubek wikingów – kufel do piwa – drewniany kubek do piwa – ręcznie robione prezenty dla mężczyzn, Dzień Ojca, Boże Narodzenie, prezenty urodzinowe, nordyckie i celtyckie COG: 7,59 / Price: 27,02";"B0CN1J44VC";"BM0010";"";"";"";"";"-3,08";"-3,08";"";"";"";"";"";"";"-";"";"-0,22";"";"";"";"-3,30";"-3,30";"-3,3";"";"";"";"45 527";"";"23";"";""
"Northstar Kubek do piwa wikingów kufel dla mężczyzn, 0,6 l, 590 ml, ręcznie robiony kubek ze stali nierdzewnej z drewna dębowego, autentyczny design, prezent świąteczny, prezent urodzinowy, prezent dla COG: 6,98 / Price: 26,97";"B0CP2KD382";"BMP0011";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Northstar Kufel do Piwa Viking dla Mężczyzn - 0,6 Litra, 590 ml, Ręcznie Wykonany Kubek z Drewna Dębowego, Autentyczny Design, Prezent Świąteczny, Urodzinowy dla Mężczyzn COG: 7,44 / Price: 27,1";"B0BRSMB6M9";"BMT003";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"";""
"Drewniana deska do steków 35 x 25 cm lite dębowe serwowanie talerz do grilla naturalny gruby talerz do krojenia trwały i wysokiej jakości COG: 4,73 / Price: 23,76";"B08YKGCV8F";"KB0002";"";"";"";"";"-0,22";"-0,22";"";"";"";"";"";"";"-";"";"-0,31";"";"";"";"-0,53";"-0,53";"-0,53";"";"";"";"46 896";"";"20";"";""
"Northstar 2er Set Holz Waffenhalterung Wand Braun Gewehr Wandhalterung 17x12x4,5 cm - Gewehrhalter Wand, Waffenhalter Langwaffen, Gewehr Halterung aus Hartholz für Waffenlagerung und Ausstellung COG: 4,48 / Price: 29,45";"B09J8W13DK";"UG-Y4LX-G244";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"";""
"Drewniana deska do steków, 30 x 20 cm, deska do krojenia z litego dębu, trwała deska do serwowania burgerów, sera, grilla, gruby talerz na mięso, naturalna deska do krojenia, talerz do steków (mała) COG: 8,85 / Price: 29,13";"B07QS323RP";"5L-OS15-NL0S";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";""
"Wieszak na broń do montażu na ścianie Poziomy stojak na broń i haki do strzelby Sklep Karabin Łuk strzelby Wieszak z prawdziwego twardego drewna Rozwidlony (Wenge) COG: 4,71 / Price: 31,78";"B09QMLXZ27";"ARBI01";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"";"";"15";"";""
"Drewniany stojak na telefon, stacja dokująca, z jesionu, na klucze, portfel, zegarek, organizer, dla mężczyzn, prezent dla męża, żony, na rocznicę, dla ojca, na urodziny, na szafkę nocną, z okazji ukończenia studiów,, w podróży, gadżet COG: 14,05 / Price: 32,71";"B0881MZGCF";"CJ-HT4E-OKZV";"";"";"";"";"-0,17";"-0,17";"";"";"";"";"";"";"-";"";"";"";"";"";"-0,17";"-0,17";"-0,17";"";"";"";"";"";"10";"";""
"Northstar Drewniana stacja dokująca do telefonu dla mężczyzn, organizer na biurko lub szafkę nocną, prezenty urodzinowe dla mężczyzn, taty - pomysł na rocznicę od żony - uchwyt na klucze, portfel stojak COG: 6,36 / Price: 30,7";"B09PNKKS78";"PP0001GS";"";"";"";"";"-0,21";"-0,21";"";"";"";"";"";"";"-";"";"-0,53";"";"";"";"-0,74";"-0,74";"-0,74";"";"";"";"16 026";"";"14";"";""
"Stojak na broń Uchwyt ścienny Wyświetlacze poziomy Stojak na broń i haczyki do strzelby Przechowuj dowolny karabin Strzelba Miecz szabla i łuk Prawdziwe drewno liściaste COG: 4,48 / Price: 24,52";"B0B6WC5SST";"XV-BOT3-21US";"";"";"";"";"";"";"";"";"";"";"";"";"-";"";"";"";"";"";"";"";"";"";"";"";"5 730";"";"1";"";""
"Amazon.com.be";"";"";"11";"";"328,37";"";"-0,52";"-0,52";"";"";"";"";"";"";"-";"";"-98,55";"-75,49";"-56,99";"";"96,82";"96,82";"229,3";"";"29,49";"128,26";"131 215";"0,16";"283";"3,89";"29,85"
"Tasse de bière en bois de chêne fait à la main Tasse en acier inoxydable Naturel et écologique 0.6 litre 20 onces Barrel Brown COG: 6,54 / Price: 28,8";"B01LNOBGRM";"3I-GOR9-I5Y7";"2";"";"58,6";"";"";"";"";"";"";"";"";"";"-";"";"-17,57";"-13,08";"-10,17";"";"17,78";"17,78";"41,03";"";"30,34";"135,93";"37 876";"";"18";"11,11";"29,30"
"Tesyliar Tasse de 590 ml - Chope de bière Viking - Cadeau fait à la main pour homme | Fête des pères | Noël | Cadeaux d'anniversaire | Tasses nordiques COG: 7,59 / Price: 30,8";"B0CN1J44VC";"BM0010";"2";"";"61,6";"";"";"";"";"";"";"";"";"";"-";"";"-18,02";"-15,18";"-10,70";"";"17,70";"17,70";"43,58";"";"28,73";"116,60";"131 215";"";"11";"18,18";"30,80"
"Northstar Chope à bière Viking pour homme – 0,6 l – Tasse en bois de chêne faite à la main en acier inoxydable – Design authentique – Cadeau de Noël | Cadeau d'anniversaire | Cadeau pour homme – Cadeau COG: 7,01 / Price: 30,8";"B0CP2C594Q";"BMP0010";"2";"";"65,6";"";"";"";"";"";"";"";"";"";"-";"";"-18,85";"-14,02";"-11,38";"";"21,35";"21,35";"46,75";"";"32,55";"152,28";"57 157";"";"26";"7,69";"32,80"
"Northstar Cadeau Homme Organisateur de Bureau Bois Support Téléphone Bureau Papa Noël Montre Anniversaire Noir COG: 6,12 / Price: 27,99";"B08YJLRHKX";"PP0004";"1";"";"27,99";"";"-0,49";"-0,49";"";"";"";"";"";"";"-";"";"-8,83";"-6,12";"-4,86";"";"7,69";"7,69";"18,67";"";"27,47";"125,65";"69 701";"1,75";"14";"7,14";"27,99"
"Northstar Cadeau pour homme - Station d'accueil en bois pour téléphone - Organisateur de bureau - Cadeaux pour les pères, cadeaux pour lui, cadeau de Noël, d'anniversaire de mariage, de table de nuit COG: 6,12 / Price: 30,99";"B08YJR9HDL";"PP0005";"1";"";"30,99";"";"";"";"";"";"";"";"";"";"-";"";"-8,7";"-6,12";"-5,38";"";"10,79";"10,79";"22,29";"";"34,82";"176,31";"14 012";"";"31";"3,23";"30,99"
"Northstar Gun Rack Support mural Hold Up Displays Horizontal Gun Rack and Shotgun Hooks Store Carabine Shotgun Bow Vrai bois dur Cintre Fourchu (Wenge) COG: 4,71 / Price: 27,8";"B09QMLXZ27";"ARBI01";"1";"";"27,8";"";"";"";"";"";"";"";"";"";"-";"";"-8,32";"-4,71";"-4,82";"";"9,95";"9,95";"19,48";"";"35,79";"211,25";"15 652";"";"5";"20,00";"27,80"
"Northstar Station d'accueil de téléphone en bois pour homme - Organiseur de bureau ou de chevet - Cadeaux d'anniversaire pour hommes, papas - Idée d'anniversaire de la femme - Porte-clés, support COG: 6,12 / Price: 27,99";"B0FGJXKQFB";"PP0013";"1";"";"27,99";"";"";"";"";"";"";"";"";"";"-";"";"-9,34";"-6,12";"-4,86";"";"7,67";"7,67";"18,65";"";"27,40";"125,33";"69 701";"";"18";"5,56";"27,99"
